,AAPL,AMZN,COST,MSFT,NFLX,NVDA,TSLA,risk_free
2017-11-30,42.962501525878906,58.837501525878906,184.42999267578125,84.16999816894531,187.5800018310547,50.1775016784668,20.59000015258789,1.0
2017-12-07,42.33000183105469,57.98949813842773,186.1999969482422,82.48999786376953,185.1999969482422,47.997501373291016,20.74933242797852,1.0005670418463577
2017-12-14,43.05500030517578,58.7130012512207,186.52999877929688,84.69000244140625,189.55999755859372,46.61750030517578,22.525999069213867,1.0011344052291709
2017-12-21,43.75249862670898,58.73799896240234,186.8000030517578,85.5,188.6199951171875,48.97249984741211,22.11066627502441,1.001702090330764
2017-12-28,42.77000045776367,59.30500030517578,186.6199951171875,85.72000122070312,192.7100067138672,49.34999847412109,21.02400016784668,1.0022700973335656
2018-01-04,43.25749969482422,60.47949981689453,189.1000061035156,87.11000061035156,205.6300048828125,53.397499084472656,20.974666595458984,1.0028384264201067
2018-01-11,43.81999969482422,63.83399963378906,189.3800048828125,88.08000183105469,217.2400054931641,56.02000045776367,22.530000686645508,1.0034070777730224
2018-01-18,44.81499862670898,64.66600036621094,191.50999450683597,90.0999984741211,220.3300018310547,56.11000061035156,22.971332550048828,1.003976051575051
2018-01-25,42.77750015258789,68.89749908447266,197.9499969482422,92.33000183105467,269.70001220703125,59.087501525878906,22.50933265686035,1.0045453480090352
2018-02-01,41.94499969482422,69.5,193.47000122070312,94.26000213623048,265.07000732421875,60.125,23.28333282470703,1.00511496725792
2018-02-08,38.78749847412109,67.5250015258789,178.61000061035156,85.01000213623047,250.1000061035156,54.380001068115234,21.01533317565918,1.0056849095047558
2018-02-15,43.247501373291016,73.08799743652344,191.47999572753903,92.66000366210938,280.2699890136719,61.625,22.271333694458008,1.0062551749326953
2018-02-22,43.125,74.26699829101562,186.58999633789065,91.7300033569336,278.1400146484375,60.53749847412109,23.077999114990234,1.0068257637249962
2018-03-01,43.75,74.67250061035156,189.02999877929688,92.8499984741211,290.3900146484375,58.0525016784668,22.062000274658203,1.0073966760650193
2018-03-08,44.23500061035156,77.59300231933594,185.69000244140625,94.43000030517578,317.0,60.29499816894531,21.940000534057617,1.0079679121362297
2018-03-15,44.66249847412109,79.11599731445312,185.50999450683597,94.18000030517578,321.0899963378906,62.334999084472656,21.706666946411133,1.0085394721221967
2018-03-22,42.212501525878906,77.24600219726562,182.63999938964844,89.79000091552734,306.70001220703125,60.462501525878906,20.606666564941406,1.0091113562065934
2018-03-29,41.94499969482422,72.36699676513672,188.42999267578125,91.2699966430664,295.3500061035156,57.897499084472656,17.742000579833984,1.0096835645731974
2018-04-05,43.20000076293945,72.5875015258789,186.25,92.37999725341795,293.9700012207031,55.345001220703125,20.381332397460938,1.0102560974058898
2018-04-12,43.53499984741211,72.42500305175781,188.82000732421875,93.58000183105467,309.25,58.650001525878906,19.60533332824707,1.010828954888657
2018-04-19,43.20000076293945,77.84549713134766,195.07000732421875,96.11000061035156,332.70001220703125,57.2599983215332,20.005332946777344,1.0114021372055888
2018-04-26,41.05500030517578,75.89800262451172,195.25999450683597,94.26000213623048,313.9800109863281,56.30500030517578,19.03199958801269,1.01197564454088
2018-05-03,44.22249984741211,78.60399627685547,193.00999450683597,94.06999969482422,311.69000244140625,58.247501373291016,18.96333312988281,1.0125494770788295
2018-05-10,47.5099983215332,80.4540023803711,195.4499969482422,97.91000366210938,329.6000061035156,65.03250122070312,20.334667205810547,1.0131236350038406
2018-05-17,46.747501373291016,79.08799743652344,199.6000061035156,96.18000030517578,325.2200012207031,61.9275016784668,18.96933364868164,1.013698118500422
2018-05-24,47.03749847412109,80.15350341796875,198.88999938964844,98.30999755859376,349.2900085449219,61.92250061035156,18.523332595825195,1.0142729277531857
2018-05-31,46.71749877929688,81.48100280761719,198.2400054931641,98.83999633789062,351.6000061035156,63.04750061035156,18.98200035095215,1.0148480629468493
2018-06-07,48.3650016784668,84.46499633789062,202.57000732421875,100.87999725341795,361.3999938964844,65.7249984741211,21.07266616821289,1.0154235242662353
2018-06-14,47.70000076293945,86.19300079345703,205.1199951171875,101.41999816894533,392.8699951171875,66.72750091552734,23.847999572753903,1.0159993118962702
2018-06-21,46.3650016784668,86.51100158691406,209.9600067138672,101.13999938964844,415.4400024414063,64.27749633789062,23.167333602905277,1.016575426021986
2018-06-28,46.375,85.07250213623047,208.7100067138672,98.62999725341795,395.4200134277344,60.21500015258789,23.32866668701172,1.0171518668285193
2018-07-05,46.34999847412109,84.98650360107422,209.13999938964844,99.76000213623048,398.3900146484375,60.682498931884766,20.61066627502441,1.0177286345011118
2018-07-12,47.75749969482422,89.83100128173828,214.0200042724609,104.19000244140624,413.5,62.807498931884766,21.11400032043457,1.0183057292251103
2018-07-19,47.970001220703125,90.64849853515624,217.5399932861328,104.4000015258789,364.2300109863281,63.00749969482422,21.34866714477539,1.0188831511859668
2018-07-26,48.5525016784668,90.4000015258789,221.72000122070312,109.62000274658205,363.0899963378906,63.709999084472656,20.44333267211914,1.0194609005692379
2018-08-02,51.84749984741211,91.71649932861328,221.1199951171875,107.56999969482422,344.5,62.65499877929688,23.30266761779785,1.0200389775605863
2018-08-09,52.220001220703125,94.9260025024414,218.2400054931641,109.66999816894533,349.3599853515625,64.11499786376953,23.49666786193848,1.020617382345779
